len_domain,max_len_labels_subdomain,character_entropy,number_numerical_characters,ratio_numerical_characters,max_len_cont_num_chars,max_len_cont_alpha_chars,max_len_cont_same_alpha_chars,ratio_vowels,max_length_continuous_consonants,number_distinct_A_records,ip_entropy_domain_name,number_distinct_NS_records,similarity_NS_domain_name,Class
10,7,2.9,0,0.0,0,7,1,0.4,2,0,0.0,4,8.17,benign
20,17,3.6,0,0.0,0,17,1,0.45,2,0,0.0,4,8.5,benign
10,7,3.1,0,0.0,0,7,1,0.4,2,131,2.73,8,9.89,benign
11,8,3.1,0,0.0,0,8,1,0.3636363636363636,2,1,0.0,4,8.5,benign
8,5,2.8,0,0.0,0,5,1,0.375,1,7,2.81,10,6.31,benign
11,8,2.9,0,0.0,0,8,1,0.3636363636363636,2,4,0.0,2,4.0,benign
14,11,3.3,0,0.0,0,11,1,0.4285714285714285,4,2,0.0,4,1.33,benign
5,3,1.9,0,0.0,0,3,1,0.0,3,0,0.0,4,1.0,benign
12,9,3.3,0,0.0,0,9,1,0.3333333333333333,3,0,0.0,4,1.0,benign
12,9,3.1,0,0.0,0,9,1,0.1666666666666666,4,0,0.0,4,1.33,benign
11,8,3.1,0,0.0,0,8,1,0.3636363636363636,3,0,0.0,2,5.0,benign
11,8,3.1,0,0.0,0,8,2,0.2727272727272727,4,4,2.0,4,1.5,benign
10,7,2.9,0,0.0,0,7,1,0.4,3,3,0.92,2,1.0,benign
6,4,2.3,0,0.0,0,4,2,0.6666666666666666,1,9,2.95,12,10.2,benign
11,8,3.1,0,0.0,0,8,1,0.3636363636363636,2,1,0.0,12,10.17,benign
18,15,3.4,0,0.0,0,15,2,0.3333333333333333,3,10,2.25,2,1.0,benign
15,12,3.2,0,0.0,0,12,1,0.3333333333333333,3,0,0.0,4,3.0,benign
8,5,2.0,0,0.0,0,5,1,0.25,4,0,0.0,10,9.71,benign
10,7,3.1,0,0.0,0,7,1,0.3,3,12,3.42,4,8.5,benign
10,7,2.9,0,0.0,0,7,1,0.3,2,1,0.0,2,1.0,benign
8,5,3.0,2,0.25,2,3,1,0.25,2,0,0.0,4,9.0,benign
10,7,3.3,3,0.3,3,4,1,0.3,1,4,2.0,13,1.49,benign
12,9,2.9,0,0.0,0,9,1,0.3333333333333333,2,2,1.0,6,6.8,benign
6,4,2.3,0,0.0,0,4,1,0.5,2,1,0.0,6,5.53,benign
15,12,3.6,0,0.0,0,12,1,0.4,3,3,1.58,7,8.19,benign
12,9,3.4,0,0.0,0,9,1,0.4166666666666667,2,2,1.0,8,10.86,benign
6,4,2.3,0,0.0,0,4,1,0.1666666666666666,3,2,0.0,2,5.0,benign
11,8,3.1,0,0.0,0,8,1,0.4545454545454545,2,4,0.0,18,11.28,benign
9,6,2.5,0,0.0,0,6,1,0.3333333333333333,2,32,4.27,6,12.27,benign
10,7,2.9,0,0.0,0,7,1,0.4,2,1,0.0,2,1.0,benign
9,6,2.9,0,0.0,0,6,1,0.2222222222222222,3,0,0.0,2,1.0,benign
12,9,3.0,0,0.0,0,9,2,0.3333333333333333,3,7,2.52,4,8.83,benign
11,8,3.1,0,0.0,0,8,1,0.3636363636363636,2,2,1.0,9,7.61,benign
